fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility
binary,top30,12,60,25,1.056000,80.14,1.341796,13.653031
binary,top30,12,60,26,1.076000,79.93,1.347043,13.697409
binary,top70,1,5,1,0.512000,51.45,1.508490,18.626932
binary,top70,1,5,2,0.404000,52.31,1.325377,15.582289
binary,top70,1,5,3,0.334000,52.99,1.287679,14.502506
binary,top70,1,5,4,0.290000,53.65,1.272659,13.762749
binary,top70,1,5,5,0.256000,54.57,1.291612,13.881132
binary,top70,2,10,1,0.990000,51.45,1.508490,18.626932
binary,top70,2,10,2,0.834000,52.03,1.365151,15.442502
binary,top70,2,10,3,0.718000,53.20,1.261678,14.180674
binary,top70,2,10,4,0.558000,53.66,1.243485,13.963472
binary,top70,2,10,5,0.456000,53.72,1.212546,13.880826
binary,top70,2,10,6,0.376000,55.23,1.210648,13.876654
binary,top70,2,10,7,0.312000,56.69,1.212659,13.908045
binary,top70,4,20,1,1.988000,51.45,1.508490,18.626932
binary,top70,4,20,2,1.754000,51.61,1.353015,15.259511
binary,top70,4,20,3,1.476000,52.69,1.286273,13.944090
binary,top70,4,20,4,1.186000,54.77,1.287894,13.287627
binary,top70,4,20,5,0.894000,57.14,1.243334,12.763556
binary,top70,4,20,6,0.614000,58.58,1.271051,12.194506
binary,top70,4,20,7,0.478000,58.93,1.298438,12.461093
binary,top70,4,20,8,0.430000,59.43,1.292314,12.478717
binary,top70,4,20,9,0.354000,59.43,1.259853,12.518406
binary,top70,4,20,10,0.342000,59.49,1.278167,12.533223
binary,top70,4,20,11,0.326000,59.63,1.273621,12.583396
binary,top70,8,40,1,3.920000,51.45,1.508490,18.626932
binary,top70,8,40,2,3.738000,51.87,1.384925,15.162199
binary,top70,8,40,3,3.324000,54.75,1.338251,14.796795
binary,top70,8,40,4,2.922000,56.85,1.285149,14.914165
binary,top70,8,40,5,2.498000,60.23,1.284483,14.440814
binary,top70,8,40,6,2.036000,63.37,1.222156,14.436759
binary,top70,8,40,7,1.626000,67.11,1.203384,14.187222
binary,top70,8,40,8,1.304000,69.52,1.182044,14.356545
binary,top70,8,40,9,1.108000,70.73,1.170945,14.708428
binary,top70,8,40,10,0.922000,73.04,1.219390,14.488869
binary,top70,8,40,11,0.854000,72.58,1.203363,14.528945
binary,top70,8,40,12,0.740000,73.99,1.227623,15.196118
binary,top70,8,40,13,0.620000,75.26,1.235122,15.908159
binary,top70,8,40,14,0.472000,77.47,1.235135,16.468202
binary,top70,8,40,15,0.446000,77.35,1.250368,16.672742
binary,top70,8,40,16,0.332000,78.42,1.251986,16.859827
binary,top70,12,60,1,5.874000,51.45,1.508490,18.626932
binary,top70,12,60,2,5.636000,52.55,1.354606,15.532480
binary,top70,12,60,3,5.010000,55.97,1.269509,14.919050
binary,top70,12,60,4,4.732000,58.48,1.276045,14.291612
binary,top70,12,60,5,3.938000,62.70,1.275351,13.165667
binary,top70,12,60,6,3.490000,64.98,1.283846,13.866426
binary,top70,12,60,7,3.210000,66.96,1.322422,13.890084
binary,top70,12,60,8,2.968000,67.48,1.334109,13.301715
binary,top70,12,60,9,2.666000,69.68,1.312349,13.694756
binary,top70,12,60,10,2.360000,71.64,1.370680,13.958307
binary,top70,12,60,11,2.000000,73.92,1.329106,13.819039
binary,top70,12,60,12,1.742000,75.32,1.381792,13.883224
binary,top70,12,60,13,1.468000,76.71,1.369057,13.345228
binary,top70,12,60,14,1.268000,78.63,1.388572,13.484526
binary,top70,12,60,15,1.212000,78.84,1.374589,13.527280
binary,top70,12,60,16,1.008000,81.04,1.373932,13.742343
binary,top70,12,60,17,0.812000,81.90,1.390271,13.583268
binary,top70,12,60,18,0.700000,82.81,1.376260,13.805043
binary,top70,12,60,19,0.682000,82.86,1.379702,13.903231
binary,top70,12,60,20,0.694000,82.66,1.373908,14.052833
binary,top70,12,60,21,0.672000,83.11,1.364992,14.039170
binary,top70,12,60,22,0.670000,83.45,1.357685,13.756236
binary,top70,12,60,23,0.642000,82.89,1.363812,14.299302
binary,top70,12,60,24,0.578000,83.22,1.393420,14.385487
binary,top70,12,60,25,0.570000,83.53,1.395798,14.518745
binary,top70,12,60,26,0.590000,83.32,1.401045,14.563123
binary,top90,1,5,1,0.512000,51.45,1.508490,18.626932
binary,top90,1,5,2,0.404000,52.31,1.325377,15.582289
binary,top90,1,5,3,0.334000,52.99,1.287679,14.502506
binary,top90,1,5,4,0.284000,53.91,1.281515,13.758361
binary,top90,1,5,5,0.184000,55.92,1.290595,13.188119
binary,top90,1,5,6,0.138000,56.89,1.307043,12.906102
binary,top90,1,5,7,0.116000,57.81,1.296952,12.713232
binary,top90,1,5,8,0.068000,58.57,1.314565,13.285162
binary,top90,2,10,1,0.990000,51.45,1.508490,18.626932
binary,top90,2,10,2,0.834000,52.03,1.365151,15.442502
binary,top90,2,10,3,0.718000,53.20,1.261678,14.180674
binary,top90,2,10,4,0.558000,53.66,1.243485,13.963472
binary,top90,2,10,5,0.422000,53.52,1.202309,14.032649
binary,top90,2,10,6,0.298000,56.11,1.205691,14.358174
binary,top90,2,10,7,0.214000,58.49,1.203363,15.050353
binary,top90,2,10,8,0.228000,56.92,1.217123,14.830514
binary,top90,2,10,9,0.184000,57.10,1.256256,15.120595
binary,top90,2,10,10,0.168000,57.57,1.246914,14.762617
binary,top90,2,10,11,0.134000,57.51,1.241047,14.780696
binary,top90,2,10,12,0.102000,58.45,1.206941,14.948766
binary,top90,2,10,13,0.124000,58.45,1.217691,14.813754
binary,top90,2,10,14,0.108000,58.75,1.218521,14.689814
binary,top90,2,10,15,0.116000,58.84,1.216268,14.830618
binary,top90,2,10,16,0.110000,58.82,1.216180,14.719978
binary,top90,2,10,17,0.136000,58.90,1.220792,15.009478
binary,top90,2,10,18,0.112000,58.90,1.215888,14.973256
binary,top90,2,10,19,0.122000,58.79,1.204985,14.906936
binary,top90,2,10,20,0.110000,58.98,1.209760,15.137831
binary,top90,2,10,21,0.134000,59.34,1.203727,15.321460
binary,top90,2,10,22,0.122000,59.64,1.207445,15.484194
binary,top90,4,20,1,1.988000,51.45,1.508490,18.626932
binary,top90,4,20,2,1.754000,51.61,1.353015,15.259511
binary,top90,4,20,3,1.476000,52.69,1.286273,13.944090
binary,top90,4,20,4,1.186000,54.77,1.287894,13.287627
binary,top90,4,20,5,0.894000,57.14,1.243334,12.763556
binary,top90,4,20,6,0.614000,58.58,1.271051,12.194506
binary,top90,4,20,7,0.500000,59.05,1.309934,12.837501
binary,top90,4,20,8,0.368000,60.31,1.295661,13.232910
binary,top90,4,20,9,0.278000,59.27,1.258770,13.467801
binary,top90,4,20,10,0.296000,60.44,1.273244,13.554686
binary,top90,4,20,11,0.210000,61.29,1.282282,13.663686
binary,top90,4,20,12,0.174000,60.77,1.256355,13.922853
binary,top90,4,20,13,0.196000,61.55,1.239651,13.890873
binary,top90,4,20,14,0.178000,60.35,1.222832,13.937695
binary,top90,4,20,15,0.168000,60.78,1.215722,13.754373
binary,top90,4,20,16,0.182000,61.02,1.221010,13.614936
binary,top90,4,20,17,0.148000,60.97,1.197800,13.370103
binary,top90,4,20,18,0.138000,61.14,1.195489,13.400010
binary,top90,4,20,19,0.142000,60.56,1.227554,13.363861
binary,top90,4,20,20,0.142000,61.08,1.232810,13.444493
binary,top90,4,20,21,0.152000,61.03,1.240608,13.274313
binary,top90,4,20,22,0.158000,60.76,1.254596,13.042497
binary,top90,8,40,1,3.920000,51.45,1.508490,18.626932
binary,top90,8,40,2,3.738000,51.87,1.384925,15.162199
binary,top90,8,40,3,3.324000,54.75,1.338251,14.796795
binary,top90,8,40,4,2.922000,56.85,1.285149,14.914165
binary,top90,8,40,5,2.498000,60.23,1.284483,14.440814
binary,top90,8,40,6,2.036000,63.37,1.222156,14.436759
binary,top90,8,40,7,1.626000,67.11,1.203384,14.187222
binary,top90,8,40,8,1.304000,69.52,1.182044,14.356545
binary,top90,8,40,9,1.108000,70.73,1.170945,14.708428
binary,top90,8,40,10,0.922000,73.04,1.219390,14.488869
binary,top90,8,40,11,0.854000,72.58,1.203363,14.528945
binary,top90,8,40,12,0.740000,73.99,1.227623,15.196118
binary,top90,8,40,13,0.620000,75.26,1.235122,15.908159
binary,top90,8,40,14,0.462000,77.01,1.240615,16.628394
binary,top90,8,40,15,0.424000,76.86,1.282995,16.765765
binary,top90,8,40,16,0.352000,78.10,1.299018,16.773787
binary,top90,8,40,17,0.240000,77.98,1.303340,16.912775
binary,top90,8,40,18,0.202000,78.96,1.307711,17.267650
binary,top90,8,40,19,0.268000,77.23,1.326865,17.108150
binary,top90,8,40,20,0.218000,77.71,1.320803,17.299110
binary,top90,8,40,21,0.224000,77.18,1.303807,17.384459
binary,top90,8,40,22,0.296000,77.46,1.339511,17.056835
binary,top90,8,40,23,0.294000,77.61,1.339903,16.967925
binary,top90,12,60,1,5.874000,51.45,1.508490,18.626932
binary,top90,12,60,2,5.636000,52.55,1.354606,15.532480
binary,top90,12,60,3,5.010000,55.97,1.269509,14.919050
binary,top90,12,60,4,4.732000,58.48,1.276045,14.291612
binary,top90,12,60,5,3.938000,62.70,1.275351,13.165667
binary,top90,12,60,6,3.490000,64.98,1.283846,13.866426
binary,top90,12,60,7,3.210000,66.96,1.322422,13.890084
binary,top90,12,60,8,2.968000,67.48,1.334109,13.301715
binary,top90,12,60,9,2.666000,69.68,1.312349,13.694756
binary,top90,12,60,10,2.360000,71.64,1.370680,13.958307
binary,top90,12,60,11,2.000000,73.92,1.329106,13.819039
binary,top90,12,60,12,1.742000,75.32,1.381792,13.883224
binary,top90,12,60,13,1.468000,76.71,1.369057,13.345228
binary,top90,12,60,14,1.268000,78.63,1.388572,13.484526
binary,top90,12,60,15,1.212000,78.84,1.374589,13.527280
binary,top90,12,60,16,1.008000,81.04,1.373932,13.742343
binary,top90,12,60,17,0.772000,82.08,1.389414,13.652761
binary,top90,12,60,18,0.614000,83.39,1.357810,14.118774
binary,top90,12,60,19,0.584000,83.54,1.356977,14.085909
binary,top90,12,60,20,0.540000,83.77,1.356552,13.927312
binary,top90,12,60,21,0.522000,84.08,1.349357,14.178986
binary,top90,12,60,22,0.540000,84.26,1.345898,13.994920
binary,top90,12,60,23,0.512000,83.70,1.352025,14.537985
binary,top90,12,60,24,0.448000,84.03,1.381633,14.624170
binary,top90,12,60,25,0.440000,84.34,1.384011,14.757428
binary,top90,12,60,26,0.460000,84.13,1.389258,14.801806
margin,top10,1,5,1,1.970130,51.45,1.508490,18.626932
margin,top10,2,10,1,3.751406,51.45,1.508490,18.626932
margin,top10,2,10,2,3.010414,51.68,1.449971,16.611386
margin,top10,4,20,1,7.465195,51.45,1.508490,18.626932
margin,top10,4,20,2,5.217614,52.42,1.334886,15.255396
margin,top10,4,20,3,4.233105,53.67,1.302188,14.893711
margin,top10,4,20,4,3.678722,55.47,1.260021,14.074782
margin,top10,4,20,5,2.955684,57.61,1.278829,13.560875
margin,top10,4,20,6,2.700507,59.44,1.278751,13.393598
margin,top10,4,20,7,2.527198,59.69,1.264528,13.498423
margin,top10,4,20,8,2.463359,59.94,1.278926,13.036943
margin,top10,4,20,9,2.413745,59.62,1.294447,12.993686
margin,top10,4,20,10,2.444910,59.22,1.284956,13.008163
margin,top10,8,40,1,14.689119,51.45,1.508490,18.626932
margin,top10,8,40,2,11.272006,51.72,1.375579,14.892475
margin,top10,8,40,3,9.860557,53.51,1.319721,14.626747
margin,top10,8,40,4,8.421388,55.56,1.301068,13.674358
margin,top10,8,40,5,6.967574,57.75,1.248308,12.946262
margin,top10,8,40,6,6.052042,60.31,1.248796,12.796457
margin,top10,8,40,7,4.905488,62.54,1.251542,12.570903
margin,top10,8,40,8,4.422914,65.35,1.237179,12.217360
margin,top10,8,40,9,3.760113,66.65,1.229938,12.457999
margin,top10,8,40,10,3.802015,68.02,1.248338,12.628269
margin,top10,8,40,11,3.581753,68.20,1.242275,12.571460
margin,top10,8,40,12,3.421742,68.78,1.265018,12.775933
margin,top10,8,40,13,3.313329,69.21,1.256894,12.698098
margin,top10,8,40,14,3.126361,69.73,1.262944,12.499723
margin,top10,8,40,15,2.939876,70.38,1.270256,12.708638
margin,top10,12,60,1,21.794408,51.45,1.508490,18.626932
margin,top10,12,60,2,16.796786,52.09,1.304305,15.127001
margin,top10,12,60,3,14.309138,54.52,1.256010,14.082991
margin,top10,12,60,4,12.324455,58.96,1.204799,13.950119
margin,top10,12,60,5,11.258001,60.66,1.148725,13.505047
margin,top10,12,60,6,10.143770,63.69,1.154334,13.970460
margin,top10,12,60,7,9.309425,65.44,1.154358,14.374905
margin,top10,12,60,8,8.879586,67.98,1.151329,14.703836
margin,top10,12,60,9,7.869612,69.95,1.162990,15.170257
margin,top10,12,60,10,7.206171,72.52,1.153522,15.529702
margin,top10,12,60,11,5.718251,76.50,1.150981,16.074084
margin,top10,12,60,12,5.351110,77.24,1.175424,16.602118
margin,top10,12,60,13,4.526375,79.57,1.212721,16.557322
margin,top10,12,60,14,3.724490,81.69,1.194354,17.148422
margin,top10,12,60,15,3.332995,81.70,1.172450,16.699437
margin,top10,12,60,16,3.347571,82.19,1.165171,16.471613
margin,top10,12,60,17,2.746503,82.94,1.136181,16.261847
margin,top10,12,60,18,2.321001,83.53,1.081643,16.147757
margin,top10,12,60,19,2.088606,83.81,1.073560,15.826312
margin,top10,12,60,20,1.962663,84.01,1.053154,15.497240
margin,top10,12,60,21,1.920028,84.04,1.046884,15.131219
margin,top30,1,5,1,1.970130,51.45,1.508490,18.626932
margin,top30,1,5,2,1.232070,51.81,1.342082,16.056342
margin,top30,2,10,1,3.751406,51.45,1.508490,18.626932
margin,top30,2,10,2,2.414447,51.66,1.348541,15.347741
margin,top30,2,10,3,1.968577,52.02,1.340990,14.545389
margin,top30,2,10,4,1.855362,52.55,1.304223,14.057201
margin,top30,2,10,5,1.433254,52.70,1.271752,13.370858
margin,top30,4,20,1,7.465195,51.45,1.508490,18.626932
margin,top30,4,20,2,5.217614,52.42,1.334886,15.255396
margin,top30,4,20,3,4.233105,53.67,1.302188,14.893711
margin,top30,4,20,4,3.678722,55.47,1.260021,14.074782
margin,top30,4,20,5,2.955684,57.61,1.278829,13.560875
margin,top30,4,20,6,2.334247,60.62,1.281592,13.422589
margin,top30,4,20,7,1.649051,61.78,1.272702,13.314360
margin,top30,4,20,8,1.585211,62.03,1.287100,12.852880
margin,top30,4,20,9,1.502748,61.96,1.303133,12.402347
margin,top30,4,20,10,1.362944,62.12,1.290875,12.353135
margin,top30,4,20,11,1.182289,63.34,1.273655,12.029594
margin,top30,4,20,12,1.121182,62.68,1.285727,12.051819
margin,top30,4,20,13,1.196481,62.66,1.297634,12.234415
margin,top30,4,20,14,1.154081,62.59,1.296587,12.294440
margin,top30,4,20,15,1.136708,63.39,1.307308,12.110451
margin,top30,4,20,16,1.078221,62.99,1.316880,12.103162
margin,top30,4,20,17,1.012802,63.36,1.326116,11.858805
margin,top30,8,40,1,14.689119,51.45,1.508490,18.626932
margin,top30,8,40,2,11.272006,51.72,1.375579,14.892475
margin,top30,8,40,3,9.860557,53.51,1.319721,14.626747
margin,top30,8,40,4,8.421388,55.56,1.301068,13.674358
margin,top30,8,40,5,6.967574,57.75,1.248308,12.946262
margin,top30,8,40,6,6.052042,60.31,1.248796,12.796457
margin,top30,8,40,7,4.905488,62.54,1.251542,12.570903
margin,top30,8,40,8,4.422914,65.35,1.237179,12.217360
margin,top30,8,40,9,3.806095,66.18,1.216038,12.527396
margin,top30,8,40,10,3.529818,68.27,1.207583,12.469650
margin,top30,8,40,11,2.636665,69.48,1.171981,12.285282
margin,top30,8,40,12,2.225798,70.56,1.190906,12.619854
margin,top30,8,40,13,2.117385,70.99,1.182782,12.542018
margin,top30,8,40,14,1.772522,72.29,1.183818,12.537396
margin,top30,8,40,15,1.476266,72.89,1.184912,12.682383
margin,top30,8,40,16,1.280315,73.81,1.188333,12.286401
margin,top30,8,40,17,1.221111,74.73,1.201560,12.128218
margin,top30,8,40,18,1.092341,75.41,1.224147,12.059269
margin,top30,12,60,1,21.794408,51.45,1.508490,18.626932
margin,top30,12,60,2,16.796786,52.09,1.304305,15.127001
margin,top30,12,60,3,14.309138,54.52,1.256010,14.082991
margin,top30,12,60,4,12.324455,58.96,1.204799,13.950119
margin,top30,12,60,5,11.258001,60.66,1.148725,13.505047
margin,top30,12,60,6,10.143770,63.69,1.154334,13.970460
margin,top30,12,60,7,9.309425,65.44,1.154358,14.374905
margin,top30,12,60,8,8.879586,67.98,1.151329,14.703836
margin,top30,12,60,9,7.869612,69.95,1.162990,15.170257
margin,top30,12,60,10,7.206171,72.52,1.153522,15.529702
margin,top30,12,60,11,5.718251,76.50,1.150981,16.074084
margin,top30,12,60,12,5.351110,77.24,1.175424,16.602118
margin,top30,12,60,13,4.526375,79.57,1.212721,16.557322
margin,top30,12,60,14,3.724490,81.69,1.194354,17.148422
margin,top30,12,60,15,2.968990,82.50,1.184934,16.509701
margin,top30,12,60,16,2.903267,82.88,1.173885,16.084059
margin,top30,12,60,17,2.302199,83.63,1.144894,15.874293
margin,top30,12,60,18,1.876697,84.22,1.090357,15.760203
margin,top30,12,60,19,1.511145,84.70,1.079408,15.236458
margin,top30,12,60,20,1.217131,85.09,1.055662,15.082578
margin,top30,12,60,21,1.217411,84.82,1.058602,14.500511
margin,top30,12,60,22,1.040252,84.71,1.052407,14.129098
margin,top30,12,60,23,1.066636,84.64,1.058369,13.885079
margin,top30,12,60,24,0.866271,84.63,1.058536,13.907821
margin,top30,12,60,25,0.812520,84.97,1.051692,13.587242
margin,top70,1,5,1,1.970130,51.45,1.508490,18.626932
margin,top70,1,5,2,1.152157,51.84,1.314582,15.593832
margin,top70,1,5,3,0.793390,52.01,1.292301,14.739482
margin,top70,1,5,4,0.532303,53.70,1.300481,14.221192
margin,top70,1,5,5,0.388102,55.25,1.298837,13.629894
margin,top70,1,5,6,0.273127,55.38,1.321687,13.770041
margin,top70,1,5,7,0.243706,56.17,1.329438,13.628637
margin,top70,2,10,1,3.751406,51.45,1.508490,18.626932
margin,top70,2,10,2,2.414447,51.66,1.348541,15.347741
margin,top70,2,10,3,1.799213,52.14,1.326849,14.459797
margin,top70,2,10,4,1.555846,53.58,1.282811,13.603474
margin,top70,2,10,5,1.051361,54.02,1.248356,13.083723
margin,top70,2,10,6,0.748976,55.97,1.205501,13.151592
margin,top70,2,10,7,0.634979,57.01,1.181298,13.014864
margin,top70,2,10,8,0.540572,57.71,1.165638,12.769703
margin,top70,2,10,9,0.409764,57.77,1.166102,12.868343
margin,top70,2,10,10,0.313022,56.93,1.166916,12.977387
margin,top70,4,20,1,7.465195,51.45,1.508490,18.626932
margin,top70,4,20,2,5.217614,52.42,1.334886,15.255396
margin,top70,4,20,3,4.233105,53.67,1.302188,14.893711
margin,top70,4,20,4,3.678722,55.47,1.260021,14.074782
margin,top70,4,20,5,2.955684,57.61,1.278829,13.560875
margin,top70,4,20,6,2.334247,60.62,1.281592,13.422589
margin,top70,4,20,7,1.649051,61.78,1.272702,13.314360
margin,top70,4,20,8,1.302906,63.94,1.268422,12.510316
margin,top70,4,20,9,1.197161,63.42,1.295053,12.535847
margin,top70,4,20,10,1.000828,64.01,1.270284,12.551357
margin,top70,4,20,11,0.821780,65.60,1.266945,12.206319
margin,top70,4,20,12,0.686472,65.50,1.262371,11.943130
margin,top70,4,20,13,0.630111,66.58,1.288202,11.686398
margin,top70,4,20,14,0.587712,66.51,1.287156,11.746422
margin,top70,4,20,15,0.570338,67.31,1.297876,11.562434
margin,top70,4,20,16,0.511852,66.91,1.307448,11.555145
margin,top70,4,20,17,0.446432,67.28,1.316684,11.310788
margin,top70,4,20,18,0.387140,67.64,1.352936,11.130586
margin,top70,4,20,19,0.313595,67.72,1.346167,11.039949
margin,top70,4,20,20,0.301387,67.74,1.347872,10.946600
margin,top70,4,20,21,0.308661,68.05,1.343559,11.116155
margin,top70,4,20,22,0.295178,68.37,1.328875,11.262594
margin,top70,8,40,1,14.689119,51.45,1.508490,18.626932
margin,top70,8,40,2,11.272006,51.72,1.375579,14.892475
margin,top70,8,40,3,9.860557,53.51,1.319721,14.626747
margin,top70,8,40,4,8.421388,55.56,1.301068,13.674358
margin,top70,8,40,5,6.967574,57.75,1.248308,12.946262
margin,top70,8,40,6,6.052042,60.31,1.248796,12.796457
margin,top70,8,40,7,4.905488,62.54,1.251542,12.570903
margin,top70,8,40,8,4.422914,65.35,1.237179,12.217360
margin,top70,8,40,9,3.806095,66.18,1.216038,12.527396
margin,top70,8,40,10,3.529818,68.27,1.207583,12.469650
margin,top70,8,40,11,2.636665,69.48,1.171981,12.285282
margin,top70,8,40,12,2.171809,70.91,1.184082,12.650572
margin,top70,8,40,13,1.731493,71.50,1.156702,12.497391
margin,top70,8,40,14,1.271791,72.84,1.131322,12.556875
margin,top70,8,40,15,0.889121,73.55,1.143143,12.815805
margin,top70,8,40,16,0.700384,74.26,1.131532,12.323766
margin,top70,8,40,17,0.645499,75.34,1.144374,12.051703
margin,top70,8,40,18,0.456530,76.39,1.172379,11.884902
margin,top70,8,40,19,0.363027,77.13,1.173923,12.012548
margin,top70,8,40,20,0.398750,77.72,1.162708,11.992003
margin,top70,8,40,21,0.393629,77.57,1.172343,11.737151
margin,top70,8,40,22,0.366069,77.76,1.176211,11.782227
margin,top70,12,60,1,21.794408,51.45,1.508490,18.626932
margin,top70,12,60,2,16.796786,52.09,1.304305,15.127001
margin,top70,12,60,3,14.309138,54.52,1.256010,14.082991
margin,top70,12,60,4,12.324455,58.96,1.204799,13.950119
margin,top70,12,60,5,11.258001,60.66,1.148725,13.505047
margin,top70,12,60,6,10.143770,63.69,1.154334,13.970460
margin,top70,12,60,7,9.309425,65.44,1.154358,14.374905
margin,top70,12,60,8,8.879586,67.98,1.151329,14.703836
margin,top70,12,60,9,7.869612,69.95,1.162990,15.170257
margin,top70,12,60,10,7.206171,72.52,1.153522,15.529702
margin,top70,12,60,11,5.718251,76.50,1.150981,16.074084
margin,top70,12,60,12,5.351110,77.24,1.175424,16.602118
margin,top70,12,60,13,4.526375,79.57,1.212721,16.557322
margin,top70,12,60,14,3.724490,81.69,1.194354,17.148422
margin,top70,12,60,15,2.968990,82.50,1.184934,16.509701
margin,top70,12,60,16,2.852302,83.26,1.174340,16.239812
margin,top70,12,60,17,2.179344,84.24,1.154320,15.626446
margin,top70,12,60,18,1.660897,85.08,1.080135,15.411716
margin,top70,12,60,19,1.271360,85.50,1.065879,14.800855
